,cm,cs,sm,ss
0,0.6466391695290846,0.5837819913196274,0.27004011573112113,0.4923139292717612
1,0.5268983909953071,0.5553114856526864,0.23955610424113477,0.5017296623584493
2,0.5548385239754462,0.5661425602809067,0.26064606360312836,0.6066785332846305
3,0.5690085273974648,0.5611674206083844,0.25112006747971344,0.47153401131157413
4,0.4633588200007796,0.529557368432205,0.23650166462533828,0.49388808191097605
5,0.4866459790001258,0.5596114417940528,0.238125304853169,0.5076597688997794
6,0.4828039860640341,0.5395323733564183,0.22073771613971305,0.5043347668682382
7,0.4320096701991432,0.5216277265757475,0.22457257358807606,0.5150062117494684
8,0.43604086169445266,0.5243536555768882,0.260247781247067,0.519104260885471
9,0.4277766055018229,0.5407401431506113,0.28133540955283615,0.5008041411470255
10,0.47714301712794704,0.5299561610086209,0.34097780606527645,0.5014506209658556
11,0.6241974207958627,0.6764700763966992,0.3351410616652949,0.6003845045155543
12,0.725147550090698,0.7511603610004207,0.36481515973068684,0.7066601836578061
13,0.7731290141893684,0.7796298427960398,0.34727039155467687,0.6896471353583989
14,0.7159158107992232,0.7265986852668506,0.35925179888040076,0.6706460297843413
15,0.7235068105103166,0.7391327964307961,0.3688342677590843,0.6876747433030236
16,0.6949864498736527,0.7547177882485768,0.3982781298706024,0.7062323262739347
17,0.7050957438720805,0.7805600668862248,0.41490484291312846,0.7298092371797804
18,0.6459016628393273,0.766930425253266,0.4155451442411328,0.7446782067006086
19,0.6340693145794256,0.7689620234787976,0.40236467205596044,0.7155414153987381
20,0.5786155803070234,0.7522474687103055,0.40709716705091525,0.713985074788959
21,0.5586123691145751,0.7199314391844691,0.412041978279455,0.700593917702587
22,0.5316748347117303,0.7464589746267095,0.3848354756064012,0.6993621656848409
23,0.5115648378940242,0.7099821398353323,0.3703205305678341,0.685116636491757
24,0.48748449706308816,0.7126569322197954,0.36275384713238246,0.6977770552328691
25,0.4611972021204987,0.6622654224766082,0.33945873524864456,0.6428420303466468
26,0.47013660456416295,0.6558420556304012,0.33881884312941174,0.630148419532552
27,0.47728812571993146,0.6604285004637391,0.3152099553810737,0.6275740435502621
28,0.4667673178305713,0.648970204430388,0.31107302385023966,0.6367634948633719
29,0.4599510789528866,0.6419312003060104,0.3098975225278525,0.5883865992820069
30,0.4608648951256476,0.6267115609393779,0.31555509579510554,0.5163825725145985
31,0.44590406854911463,0.6733644899590486,0.2973721010996618,0.5098519471952342
32,0.43373096067922623,0.637253403720879,0.2774658714780219,0.48331585782067604
33,0.4431631172436663,0.6736386618348372,0.2743117686871088,0.5444466452869333
34,0.4394791378346202,0.6738739049069056,0.2823078806242703,0.6015865850304312
35,0.4310400254869506,0.6699894078789731,0.3081227100999196,0.6385674154311457
36,0.5083465846515631,0.6740535362245459,0.296823376901366,0.644642576037617
37,0.46322478277159224,0.6948176247468902,0.27542213847106883,0.6565324895115422
38,0.43875367541423005,0.677637474539559,0.26180129113727707,0.6516892980213468
39,0.445989789705007,0.6739527978503081,0.2846760479453417,0.6695794931981447
40,0.4482483628791598,0.6923340020592955,0.29665537872088815,0.655221695878628
41,0.46914104259696887,0.6990456145373692,0.3062669712203143,0.7004617749443359
42,0.528802793616574,0.7079709560907333,0.2996564174112461,0.699076671790072
43,0.6119948149029197,0.6892726928813372,0.30397597929924913,0.6822887554847396
44,0.5113295808887075,0.7129297107323933,0.3210098658916633,0.6543607955508451
45,0.5569861197591481,0.7146769344733277,0.31542817165648945,0.6333896873540407
46,0.5600185331424645,0.7389772712861898,0.3370918126021764,0.6575039071271311
47,0.6261146306919617,0.735162730760369,0.3775511569457458,0.6084487836715928
48,0.6138372005210401,0.7357484621880958,0.3439528120874439,0.7060090809491189
49,0.5439909956970324,0.7660741117505839,0.36267368077034623,0.6973969787060541
50,0.5854976344617215,0.756651975976941,0.3922850973638511,0.7217389622290298
51,0.5943047288614264,0.7357969475677127,0.3998521012759678,0.6381637191513029